invoice_number,invoice_date,total_amount,vendor_name,currency,file_name,blur_score,contrast_score,ocr_confidence,num_pages_fake,subtotal,tax,tax_rate,tax_to_total_ratio,math_error,math_error_pct,total_amount_log,subtotal_log,is_small_invoice,is_medium_invoice,is_large_invoice,is_very_large_invoice,blur_ocr_interaction,blur_contrast_ratio,ocr_blur_product,blur_squared,ocr_squared,contrast_squared,overall_image_quality,is_critical_low_blur,is_low_blur,is_excellent_blur,is_low_ocr,is_medium_ocr,is_high_ocr,is_low_contrast,is_multipage,is_high_risk_ocr,is_multipage_low_quality,day_of_week,is_weekend,is_monday,month,is_month_end,quarter,vendor_name_length,vendor_has_numbers,vendor_all_caps,vendor_frequency,is_rare_vendor,is_frequent_vendor,vendor_avg_amount,amount_vs_vendor_avg,amount_zscore,is_amount_outlier,amount_rolling_mean,amount_rolling_std,label_quality_bad,label_failure
INVOICE,2000-01-01,502.5,,UNK,INVOICE.jpg,116.03678048408295,55.34618983099828,0.6824658125170858,1,0.8601521244123673,0.1398478755876326,0.1625848603214373,0.1398477357398969,0.0,0.0,0.6931471805599453,0.6206582716991865,1,0,0,0,62.42078040437589,1.1568008450341831,0.6242078040437589,4099.139202554638,0.9505297658257268,3063.200728808897,0.7260111070500663,0,0,0,0,0,1,0,0,0,0,5,1,0,1,0,1,11,0,1,1640,0,1,158.5367987804878,0.0063076837767926,-0.0282566868012621,0,2.6000000000001138,2.5033311135792014,0,0
INVOICE,2012-10-01,532.5,COMMERCIAL INVOICE,USD,INVOICE.jpg,125.48728925121529,19.8335412711954,0.48537652921006713,1,11.489844642328654,1.510155357671346,0.1314339117061699,0.1161657878081198,0.0,0.0,2.6390573296152584,2.524915885495568,1,0,0,0,48.76290888812695,3.545753881944942,0.4876290888812695,4945.585863808694,0.4807966838939004,393.3693593562113,0.57849235540026,0,0,0,1,0,0,1,0,0,0,0,0,1,10,0,4,18,0,1,1512,0,1,118.17793650793652,0.1100036121304533,-0.0272653029214994,0,34.126000000000005,93.77972516177036,1,0
INVOICE,2003-09-16,547.55,COMMERCIAL INVOICE,UNK,INVOICE.jpg,92.8895807541704,19.017042675306968,0.5454717902614316,1,16.18953226753399,0.0,0.0,0.0,2.8304677324660084,0.1488153303706981,2.9967317738870745,2.844300609457031,1,0,0,0,37.865914386078586,2.555237010850963,0.3786591438607859,2361.2848811194344,0.60722341626737,361.6479121144464,0.5308456689077273,0,1,0,0,1,0,1,0,0,0,1,0,0,9,0,3,18,0,1,1512,0,1,118.17793650793652,0.1609437463631709,-0.0267679586751518,0,48.404,84.75286574162753,1,0
INVOICE,2005-04-20,512.675,INVOICE,USD,INVOICE.jpg,61.17147497737288,32.25458787296742,0.588199483348038,2,4.416273315926209,1.6537266840737912,0.3744619481878722,0.3261787688155862,1.0,0.1972386198740394,1.803358605071407,1.6894079988725403,1,0,0,0,23.063847914635623,0.8509688371169766,0.2306384791463562,753.3734896944184,0.7060788412467324,1040.358438854977,0.4880090257004905,1,1,0,0,1,0,0,1,0,1,2,0,0,4,0,2,7,0,1,1598,0,1,138.72588861076346,0.0365468912416088,-0.0279204424353759,0,84.62199999999999,151.98132421188515,1,1
,2000-01-01,975.125,,EUR,nan.jpg,85.75094738161908,49.02467353077484,0.6681982010637869,1,164.49743618313343,25.55256381686658,0.1553371545139585,0.1344517952244924,0.0,0.0,5.252535173892909,5.108955703356542,0,1,0,0,41.84253786536912,0.8941204677159656,0.4184253786536912,1921.416480702418,0.9112017059283288,2403.4186147990554,0.635567324817221,0,1,0,0,0,1,0,0,0,0,5,1,0,1,0,1,4,0,0,200,0,1,670.17835,0.2835812283646864,-0.0126382599288341,0,242.938,285.62551527630893,0,0
14296128,2006-12-06,512.5,Invoice Date: 06-Dec-2006,UNK,14296128.jpg,70.30429177798852,18.97441647862257,0.5303256224518174,3,4.4512701823860645,0.0,0.0,0.0,0.5487298176139355,0.1097459415735987,1.791759469228055,1.6958486425089283,1,0,0,0,25.40729033253296,1.7674426398830103,0.2540729033253295,1124.6763427933352,0.5739699302630766,360.0284807042238,0.4454883249984604,1,1,0,0,1,0,1,1,0,1,2,0,0,12,0,4,25,1,0,1,1,0,5.0,0.99999980000004,-0.0279262255080078,0,49.29700000000002,51.171380925896194,1,1
INVOICE,1995-05-03,512.5,COMMERCIAL INVOICE,USD,INVOICE.jpg,96.77383341340459,41.72337072414744,0.6163268345982539,1,4.382788290740653,1.6172117092593474,0.3689914349010497,0.323442277163414,1.0,0.199999960000008,1.791759469228055,1.683206509572757,1,0,0,0,45.06454640729269,1.2267118761956253,0.4506454640729269,2619.6539986618677,0.7752219735630683,1740.839664584644,0.6207491033786993,0,0,0,0,0,1,0,0,0,0,2,0,0,5,0,2,18,0,1,1512,0,1,118.17793650793652,0.0423090815886358,-0.0279262255080078,0,15.83999999999998,22.70915429708311,0,0
INVOICE,2022-09-12,515.0,,USD,INVOICE.jpg,107.20918882905302,29.17291865545989,0.6167968963720823,1,5.1323454246056,0.8676545753943996,0.1690561204587968,0.1446090717975546,0.0,0.0,1.9459101490553128,1.813577290898157,1,0,0,0,51.22891143322551,1.992925627808649,0.5122891143322551,3380.196718320634,0.7764049211719048,851.0591828780796,0.6202323927647514,0,0,0,0,0,1,1,0,0,0,0,0,1,9,0,3,7,0,1,1598,0,1,138.72588861076346,0.0432507588658092,-0.0278436101846943,0,265.2950000000002,619.9832729519101,1,0
,2010-12-29,512.5,Invoice number 6Y2M9d-905,EUR,nan.jpg,97.97486865299913,37.64155024985331,0.6766178965060636,2,4.567930910775991,0.4320690892240089,0.0945874626994188,0.0864138005620416,0.0,0.0,1.791759469228055,1.7170235146893291,1,0,0,0,50.2468491507894,1.381007000046755,0.5024684915078941,2702.2578406455414,0.9343097507597758,1416.8863052122315,0.628866742276403,0,0,0,0,0,1,0,1,0,1,2,0,0,12,1,4,25,1,0,1,1,0,5.0,0.99999980000004,-0.0279262255080078,0,193.837,292.29597268537844,0,0
INVOIC,2015-09-02,2438.575,"Duran, Morgan andl Loper, COMMERCIAL INVOIC",USD,INVOIC.jpg,114.44441795367611,32.4741436335556,0.39741926955075124,1,663.9630930587722,111.46690694122776,0.1678811788466077,0.1437485095978737,0.0,0.0,6.654706490424707,6.499731539955977,0,1,0,0,35.74669675837697,1.9388638565522367,0.3574669675837697,3964.332481159404,0.3223307669596993,1054.5700047327996,0.5340282306010644,0,0,0,1,0,0,0,0,0,0,2,0,0,9,0,3,43,0,0,51,0,1,610.8466666666667,1.2694347715147802,0.0357230980324559,0,187.3840000000001,340.6341686474753,0,0
INVOICE,2022-08-04,1799.7,COMMERCIAL INV,USD,INVOICE.jpg,117.1756139044299,42.53694436280298,0.5958195085131262,1,470.5642236793416,49.31577632065836,0.1048013719153082,0.0948599219546788,0.0,0.0,6.255519688928606,6.156055304206577,0,1,0,0,55.14202525333212,1.5229994079359612,0.5514202525333212,4196.933305645703,0.7244916055608637,1809.3916357241965,0.6597267420925055,0,0,0,0,0,1,0,0,0,0,3,0,0,8,0,3,14,0,1,64,0,1,371.22765625,1.4004344499846664,0.0146107521596764,0,145.66100000000014,281.0337223540152,0,0
,2000-01-01,500.0,,EUR,nan.jpg,98.25054241969619,40.67835899870271,0.5121649002860031,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,38.168744053056535,1.2824270270842075,0.3816874405305654,2721.3988395451884,0.5353324185407583,1654.728890827338,0.5700237671196982,0,0,0,0,1,0,0,0,0,0,5,1,0,1,0,1,31,0,0,1,1,0,0.0,0.0,-0.0283393021245756,0,8.743000000000047,14.677800357382203,1,1
INVOICE,2001-03-10,511.475,INVOICE,USD,INVOICE.jpg,110.40461645993179,58.54482034278234,0.6395346261160757,1,3.971181701902713,0.6188182980972874,0.1558272042736268,0.1348187719561036,0.0,0.0,1.7209792871670078,1.6036575788288854,1,0,0,0,55.06369770178068,1.0294632885416006,0.5506369770178067,3632.4420787854974,0.8347031387784262,3427.4959889686606,0.6978010588167768,0,0,0,0,0,1,0,0,0,0,5,1,0,3,0,1,7,0,1,1598,0,1,138.72588861076346,0.033086830532344,-0.0279600977905664,0,104.532,252.43375324225823,0,0
,2020-12-13,502.5,Invoice number 7915-343,USD,nan.jpg,80.63122249900515,25.81422535469497,0.5398624273191589,1,0.8548209190084813,0.1451790809915186,0.1698354683744114,0.1451789358125828,0.0,0.0,0.6931471805599453,0.6177881517810802,1,0,0,0,31.173827571086584,1.565834840213416,0.3117382757108659,1633.842285210607,0.5947988580223147,666.3742306629767,0.5130325168666481,0,1,0,0,1,0,1,0,0,0,6,1,0,12,0,4,23,1,0,1,1,0,1.0,0.999999000001,-0.0282566868012621,0,132.55000000000013,385.6696073946333,0,0
INVOICE,2002-05-09,512.5,,USD,INVOICE.jpg,61.405910612627665,27.930075344132696,0.4548685182020685,1,4.414528573085724,0.5854714269142764,0.1326237410399849,0.1170942619640029,0.0,0.0,1.791759469228055,1.6890858172144405,1,0,0,0,17.937376385879286,0.9883231276672552,0.1793737638587928,761.9775260715166,0.4222558547986643,780.0891087289291,0.4299082012187641,1,1,0,1,0,0,1,0,1,0,3,0,0,5,0,2,7,0,1,1598,0,1,138.72588861076346,0.036042299054841,-0.0279262255080078,0,12.935999999999977,15.274505497481298,0,0
INVOICE,2022-09-01,512.325,,USD,INVOICE.jpg,87.37105952562129,43.9759447835264,0.6095576669522713,1,4.499325232370025,0.4306747676299745,0.0957198356792892,0.0873579473168412,0.0,0.0,1.780024213009634,1.7046253996883705,1,0,0,0,39.11099606146697,1.0213319778234888,0.3911099606146697,2017.270960713248,0.7582868353883596,1933.883719603763,0.5999298619363048,0,1,0,0,0,1,0,0,0,0,3,0,0,9,0,3,11,0,1,1640,0,1,158.5367987804878,0.0310968810195875,-0.0279320085806398,0,100.15700000000014,181.72277097618053,0,0
,2000-01-01,714.55,Address:6030 Willie Shores Suite 354 detis(? Zo) S052,USD,nan.jpg,122.46250471075335,48.88164738696168,0.5624824982901359,1,73.96179263805757,11.85820736194242,0.1603288235541207,0.138175334697822,0.0,0.0,4.463837009871448,4.316978552239436,1,0,0,0,54.888919648351774,1.397422933307945,0.5488891964835177,4666.028831822735,0.6456868589443118,2389.415451263257,0.6680837215774158,0,0,0,0,1,0,0,0,0,0,5,1,0,1,0,1,53,1,0,1,1,0,85.82,0.9999999883477046,-0.0212492550778062,0,44.53100000000005,32.4134551793648,0,0
INVOICE,2016-01-24,510.0,INVOICE INVOICE # 8939-079,USD,INVOICE.jpg,66.60003223146812,22.433787737021262,0.5918812708414426,3,3.615142483498198,0.384857516501802,0.1064570516380705,0.0962143550718617,0.0,0.0,1.6094379124341005,1.5293427414756662,1,0,0,0,26.26827266515576,1.3848168277988824,0.2626827266515575,965.1391128772748,0.7149457934140433,503.2748322297256,0.4745416194348561,1,1,0,0,1,0,1,1,0,1,6,1,0,1,0,1,26,1,1,1,1,0,4.0,0.9999997500000624,-0.0280088408313214,0,191.34900000000007,435.78993444872447,1,1
INVOICE,2008-11-22,500.0,INVOICE,USD,INVOICE.jpg,55.60427573910029,66.22975849849176,0.4900079176600551,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,16.615597156867576,0.3583915147179026,0.1661559715686757,563.406422624838,0.4900158354480476,4386.380910768542,0.5105401192182452,1,1,0,0,1,0,0,0,1,0,5,1,0,11,0,4,7,0,1,1598,0,1,138.72588861076346,0.0,-0.0283393021245756,0,116.299,209.17724587131949,1,1
INVOICE,2018-05-11,3248.4500000000003,,USD,INVOICE.jpg,46.086933678107556,37.9815490535755,0.43990401098979687,1,994.1634965673122,105.21650343268789,0.1058342050277941,0.0957053096627031,0.0,0.0,7.003410853676233,6.9029070418179455,0,0,1,0,10.92928262802317,0.4578878190649619,0.1092928262802317,302.45693721154765,0.3949296711936966,1442.598068509162,0.4067846155176337,1,1,0,1,0,0,0,0,1,0,4,0,0,5,0,2,10,0,0,13,0,0,679.5992307692309,1.617688703293462,0.0624863320198827,0,156.98300000000012,343.57046461815133,1,0
INVOICE,1994-03-19,708.225,,USD,INVOICE.jpg,93.78638251316633,45.45624410877221,0.5742555243292559,1,73.93219104556847,9.357808954431531,0.1265728594745818,0.1123521292121431,0.0,0.0,4.434263234009391,4.316583585181433,1,0,0,0,40.35451216995939,1.0821598123147942,0.4035451216995939,2419.7467752796874,0.672998790250344,2066.2701284762884,0.6002084762462271,0,1,0,0,1,0,0,0,0,0,5,1,0,3,0,1,27,0,0,199,0,1,66.62065326633166,1.2502128794326868,-0.0214582718457895,0,168.48399999999998,254.35808141716703,0,0
,2000-01-01,500.0,Dae ever ens eR ae,EUR,nan.jpg,76.92839701777689,45.66728006711645,0.6518212709003017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,35.340133423280264,0.8310603082049074,0.3534013342328027,1440.3743942282797,0.8670836106083357,2085.500468728452,0.6000781219591965,0,1,0,0,0,1,0,0,0,0,5,1,0,1,0,1,18,0,0,1,1,0,0.0,0.0,-0.0283393021245756,0,21.38200000000011,34.84769458336126,0,1
INVOICE,2001-02-26,735.275,,USD,INVOICE.jpg,118.54452009037732,40.93426990458527,0.6782461146839783,1,82.63183810524482,11.478161894755177,0.1389072543833365,0.1219653785228965,0.0,0.0,4.555034116494294,4.426424286169534,1,0,0,0,63.6547027378054,1.6049228500991624,0.636547027378054,4316.009973263456,0.9388118205794131,1675.6144526214357,0.7009288106953735,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,7,0,1,1598,0,1,138.72588861076346,0.6783881528102177,-0.0205643740475368,0,171.086,295.597089044415,0,0
INVOICE,2002-05-12,512.5,COMMERCIAL INVOICE,USD,INVOICE.jpg,93.8005593669008,41.80766750350712,0.595716208962151,1,4.447739836584063,0.5522601634159372,0.1241664439783505,0.1104520105927853,0.0,0.0,1.791759469228055,1.6952008137759838,1,0,0,0,41.87065661460602,1.1768265170572698,0.4187065661460602,2420.6766946077555,0.7242404114698721,1747.881062083805,0.603674744677525,0,1,0,0,0,1,0,0,0,0,6,1,0,5,0,2,18,0,1,1512,0,1,118.17793650793652,0.0423090815886358,-0.0279262255080078,0,75.51499999999999,211.74813048466527,0,0
INVOICE,2016-05-16,881.3,"Duran, Morgan and Loper INVOICE",USD,INVOICE.jpg,134.63241501208415,34.92319096876234,0.5038118994598447,1,133.37951419229924,19.14048580770077,0.1435039389677273,0.1254949231720813,0.0,0.0,5.033830851699444,4.9006679923068655,0,1,0,0,55.00302356848317,2.188276778262787,0.5500302356848318,5840.262476223419,0.5180131225251771,1219.6292674406436,0.6392279666956434,0,0,1,0,1,0,0,0,0,0,0,0,1,5,0,2,31,0,0,65,0,1,141.738,1.0760699242541174,-0.0157388130127919,0,118.4160000000001,285.2351346309379,0,0
INVOICE,2000-01-01,500.0,,EUR,INVOICE.jpg,123.59420591708147,25.95065024250728,0.6913874437971675,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,68.21307925829369,2.6613129396766664,0.682130792582937,4769.670888706968,0.975544076408942,673.4362480089432,0.6893148361901218,0,0,0,0,0,1,1,0,0,0,5,1,0,1,0,1,11,0,1,1640,0,1,158.5367987804878,0.0,-0.0283393021245756,0,177.40800000000002,288.4204199104139,0,1
INVOICE,2005-01-04,709.35,,USD,INVOICE.jpg,73.69861114161608,12.168485162822698,0.604753808824077,2,74.01934838780957,9.720651612190425,0.1313258180811751,0.1160813410091841,0.0,0.0,4.439587745198413,4.317746058769706,1,0,0,0,30.92803772995748,2.9419496899938533,0.3092803772995747,1281.573706017109,0.7463819781372006,148.07203115783614,0.4853439674014548,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,7,0,1,1598,0,1,138.72588861076346,0.6036364245704774,-0.0214210949502984,0,79.81899999999997,105.7280167393788,1,0
INVOICE,1993-11-06,672.525,S INVOICE,USD,INVOICE.jpg,108.99375768745924,20.629612264818054,0.5718633931007042,1,63.43203172619288,5.57796827380713,0.087936142577752,0.0808284044773036,0.0,0.0,4.248638088989106,4.1656108965070535,1,0,0,0,48.468830700887935,2.8759226375232174,0.4846883070088794,3519.950625481872,0.6674035517727563,425.5809021967315,0.5848430223507265,0,0,0,0,1,0,1,0,0,0,5,1,0,11,0,4,9,0,1,67,0,1,161.1901492537313,0.4281278967193128,-0.0226380186627071,0,165.931,283.4977637948253,0,0
,2000-01-01,1259.825,i ie,USD,nan.jpg,110.00600618755084,39.85929624578412,0.5194471699778206,1,278.81365881018166,25.116341189818343,0.0900828933808972,0.0826385717342143,0.0,0.0,5.720082242069654,5.634123877373646,0,1,0,0,44.52701447155189,1.5053954352238477,0.4452701447155189,3600.480511037084,0.55066400489381,1588.7634972091796,0.5994561919180972,0,0,0,0,1,0,0,0,0,0,5,1,0,1,0,1,4,0,0,200,0,1,670.17835,0.4535061443666359,-0.0032300269098862,0,574.132,274.61851847240393,0,0
INVOICE,2009-01-16,1559.4750000000001,INVOICE,USD,INVOICE.jpg,99.64665056897702,25.20064364214816,0.6164948072948906,1,370.4545188404965,53.3354811595035,0.1439730879311925,0.1258535619850632,0.0,0.0,6.051594929161006,5.917426430930996,0,1,0,0,46.76356808971903,2.1070003486013404,0.4676356808971902,2819.372865269657,0.775644586574621,635.0724399785425,0.5944908755926881,0,0,0,0,0,1,1,0,0,0,4,0,0,1,0,1,7,0,1,1598,0,1,138.72588861076346,3.054873183290216,0.0066722457424767,0,78.23100000000001,135.38177585906072,0,0
INVOICED,2004-11-14,544.575,,USD,INVOICED.jpg,120.03868857460223,44.81810630565769,0.41115254047078464,1,16.00285903685716,1.8271409631428384,0.1141759009911127,0.1024756511871669,0.0,0.0,2.935451342669061,2.8333815085544307,1,0,0,0,39.17253424077463,1.488069511612682,0.3917253424077463,4447.8840941005565,0.3449926766032249,2008.6626528252336,0.5786360895207796,0,0,0,1,0,0,0,0,0,0,6,1,0,11,0,4,23,1,0,151,0,1,4674.739006622517,0.0038141166749473,-0.0268662709098949,0,169.16599999999997,306.31649055308463,0,0
INVOICE,1907-05-12,500.0,BSS,UNK,INVOICE.jpg,91.07916128614723,37.93089263432687,0.637922164124034,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,43.18378323026695,1.2492747463564755,0.4318378323026695,2245.443186285391,0.8304993622054918,1438.7526160368325,0.6106742436650143,0,1,0,0,0,1,0,0,0,0,6,1,0,5,0,2,3,0,1,78,0,1,379.41641025641024,0.0,-0.0283393021245756,0,101.135,211.2170776581393,0,1
INVOICE,2016-06-26,500.0,co COMMERCIAL INVOICE,UNK,INVOICE.jpg,117.24288358160598,22.381429299918068,0.3947123610493942,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,36.55520778452102,2.896534680120122,0.3655520778452102,4202.745958784789,0.3179547917656884,500.928377507231,0.5190191008149472,0,0,0,1,0,0,1,0,0,0,6,1,0,6,1,2,21,0,0,62,0,1,16.823709677419355,0.0,-0.0283393021245756,0,15.426000000000093,24.237085567585208,1,1
INVOICE,1999-05-03,505.0,"Rogers, Olson and Sanders",USD,INVOICE.jpg,110.93635047752196,45.47803150857906,0.6025445021534893,1,1.8114446593113775,0.1885553406886222,0.1040910831188288,0.0942776232054995,0.0,0.0,1.0986122886681098,1.0336984648684606,1,0,0,0,52.18399812012733,1.3330443360812727,0.5218399812012733,3675.297705853649,0.7409385246436659,2068.251349895309,0.6544131318747873,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,2,25,0,0,181,0,1,15.560220994475138,0.1285328705920858,-0.0281740714779485,0,33.168,49.93639661273701,0,0
INVOICE,2020-04-06,505.0,TAX INVOICE,USD,INVOICE.jpg,151.35189869385613,36.54619545627097,0.6195294677202493,1,1.7817032242345434,5.218296775765457,2.928823260778508,2.6091470833091868,5.0,2.499998750000625,1.0986122886681098,1.0230634106845091,1,0,0,0,77.50130655414172,2.396088812343287,0.7750130655414171,7668.142795769352,0.7832995130076233,1335.624402327961,0.7393448883916642,0,0,1,0,0,1,0,0,0,0,0,0,1,4,0,2,11,0,1,1640,0,1,158.5367987804878,0.0126153675535852,-0.0281740714779485,0,65.9130000000001,167.4866149946617,0,1
14296128,1908-10-25,749.95,Invoice Date: 25-Oct-1908,USD,14296128.jpg,83.24535788166975,27.24370955420764,0.5866313998553935,1,88.54892413154671,11.431075868453291,0.1290933328831658,0.1143336242660498,0.0,0.0,4.6149224774307696,4.494785114269801,1,0,0,0,35.33496459855169,1.5476442475491372,0.3533496459855169,1777.7667971468834,0.7023191822373441,742.2197102740247,0.5453756207600081,0,1,0,0,1,0,1,0,0,0,6,1,0,10,0,4,25,1,0,1,1,0,99.98,0.9999999899979998,-0.0200794220996862,0,81.434,205.7277793698373,0,0
94240125,2001-11-03,587.05,y| LCO |,USD,94240125.jpg,100.78876499441175,34.01428345312562,0.5344937287916546,1,31.70143832266244,3.11856167733756,0.0983728734079335,0.0895623661049739,0.0,0.0,3.578506396632566,3.4874190623383994,1,0,0,0,41.12484594889127,1.5834281840373088,0.4112484594889127,2900.8109108099065,0.5830276451379731,1156.9714788295755,0.5737825496223726,0,0,0,0,1,0,0,0,0,0,5,1,0,11,0,4,8,0,0,30,0,1,8610.113666666666,0.0040440813378293,-0.0254626365667976,0,60.873000000000005,128.04576934906822,0,0
