invoice_number,invoice_date,total_amount,vendor_name,currency
INVOICE,2021-09-30,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2011-01-21,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVO2436927,2003-10-26,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2008-09-26,5740.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2020-10-06,69.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2019-07-25,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1994-11-29,0.0,Address:4894 Melanie Pass Apt. 742,USD
,1993-05-30,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2015-06-18,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2005-01-23,974.27,Address:4894 Melanie Pass Apt. 742,USD
,2011-02-04,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2007-09-25,95.11,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2006-06-03,0.0,Address:4894 Melanie Pass Apt. 742,USD
,1997-07-31,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2005-09-05,0.0,Address:4894 Melanie Pass Apt. 742,USD
INV78926428,2011-10-17,100.88,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2016-05-17,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1996-01-07,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2000-05-16,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVI77,2010-06-15,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2014-07-30,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2006-02-28,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1993-10-02,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1998-05-03,7742.8,Address:4894 Melanie Pass Apt. 742,USD
,1998-10-30,0.0,Address:4894 Melanie Pass Apt. 742,USD
INV82119267,2013-02-12,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2013-04-09,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2010-03-11,161.22,Address:4894 Melanie Pass Apt. 742,USD
,2003-06-30,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2015-02-06,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2020-05-11,404.21,Address:4894 Melanie Pass Apt. 742,USD
711617,2003-02-07,38.59,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2020-07-30,22.95,Address:4894 Melanie Pass Apt. 742,USD
INV28013636,2016-04-11,28.15,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2022-07-20,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2017-05-25,80.28,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2008-02-06,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2007-07-14,70.13,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2008-06-11,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2009-12-29,108.72,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2009-04-05,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2014-06-01,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2015-10-28,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2023-01-09,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2018-11-04,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2010-08-17,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1994-09-16,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2014-03-20,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2015-03-25,29.23,Address:4894 Melanie Pass Apt. 742,USD
INVI46,2022-09-28,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2000-10-06,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1996-06-08,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2001-06-10,7720.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2020-01-30,154.08,Address:4894 Melanie Pass Apt. 742,USD
,2002-05-25,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2004-07-25,48.66,Address:4894 Melanie Pass Apt. 742,USD
,1997-02-02,174.18,Address:4894 Melanie Pass Apt. 742,USD
,2009-07-26,0.0,Address:4894 Melanie Pass Apt. 742,USD
INV72417916,2017-04-06,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1993-03-26,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2004-09-05,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2012-03-10,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2004-06-25,50.9,Address:4894 Melanie Pass Apt. 742,USD
INV11987254,2020-04-21,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2020-02-24,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1998-10-13,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2016-07-07,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2003-06-18,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2007-01-10,83.65,Address:4894 Melanie Pass Apt. 742,USD
,1994-02-18,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2018-03-09,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1998-10-15,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2017-09-02,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2006-07-22,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2004-12-05,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2021-04-14,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2003-12-17,295.64,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1995-08-19,9415.87,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1998-10-21,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1997-04-21,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1997-07-10,0.0,Address:4894 Melanie Pass Apt. 742,USD
INV51988270,2012-01-04,0.0,Address:4894 Melanie Pass Apt. 742,USD
335352,1999-05-04,9.93,Address:4894 Melanie Pass Apt. 742,USD
,1997-11-27,0.0,Address:4894 Melanie Pass Apt. 742,USD
168675,1997-07-11,48.95,Address:4894 Melanie Pass Apt. 742,USD
INVO5433431,2021-04-15,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2005-07-01,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2008-04-23,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1996-12-21,66.04,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2015-01-28,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2014-08-22,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2005-09-11,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2021-10-30,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2005-02-04,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2006-12-08,88.17,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2007-12-20,0.0,Address:4894 Melanie Pass Apt. 742,USD
INV37597252,1994-02-03,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2015-12-22,0.0,Address:4894 Melanie Pass Apt. 742,USD
5007558,2021-07-26,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVE4605523,2022-05-19,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2017-06-19,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2014-12-30,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2014-12-14,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,,2.48,S TAX INVOICE,USD
INVOICE,1998-05-25,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2011-05-19,84.96,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2010-04-20,17.53,S TAX INVOICE,USD
INVOICE,2021-11-30,83.9,S INVOICE,USD
INVOICE,1999-09-08,98.91,S COMMERCIAL INVOICE,USD
INVOICE,1994-12-06,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2007-09-24,16.86,S INVOICE,USD
INVOICE,1994-06-09,97.45,S INVOICE,USD
INVOICE,2004-01-15,37.89,S TAX INVOICE,USD
INVOICE,,71.25,S COMMERCIAL INVOICE,USD
INVOICE,,26.11,S INVOICE,USD
INVOICE,2011-11-26,46.65,S COMMERCIAL INVOICE,USD
INVOICE,2021-03-26,97.29,S COMMERCIAL INVOICE,USD
INVOICE,,10.39,S INVOICE,USD
INVOICE,2020-08-04,97.92,S TAX INVOICE,USD
INVOICE,,1.65,S COMMERCIAL INVOICE,USD
INVOICE,2008-04-03,95.51,S INVOICE,USD
INVOICE,2004-01-23,48.43,S COMMERCIAL INVOICE,USD
INVOICE,2005-06-22,99.46,S COMMERCIAL INVOICE,USD
INVOICE,,87.58,S TAX INVOICE,USD
INVOICE,,76.45,S TAX INVOICE,USD
INVOICE,2016-12-12,23.33,S TAX INVOICE,USD
INVOICE,,45.68,S INVOICE,USD
INVOICE,2008-08-30,15.21,S TAX INVOICE,USD
INVOICE,,0.33,S COMMERCIAL INVOICE,USD
INVOICE,,15.41,S TAX INVOICE,USD
INVOICE,2000-11-14,88.68,S COMMERCIAL INVOICE,USD
INVOICE,2003-09-17,85.62,S TAX INVOICE,USD
INVOICE,2019-01-15,3.13,S COMMERCIAL INVOICE,USD
INVOICE,2011-02-26,67.44,S COMMERCIAL INVOICE,USD
INVOICE,2010-08-31,73.77,S TAX INVOICE,USD
INVOICE,,64.35,S TAX INVOICE,USD
INVOICE,2019-10-25,45.17,S INVOICE,USD
INVOICE,1993-11-06,69.01,S INVOICE,USD
INVOICE,1999-07-22,72.64,S INVOICE,USD
INVOICE,1999-04-25,68.56,S TAX INVOICE,USD
INVOICE,2014-07-12,67.34,S INVOICE,USD
INVOICE,2009-08-04,65.08,S COMMERCIAL INVOICE,USD
INVOICE,2018-02-24,14.03,S COMMERCIAL INVOICE,USD
INVOICE,1998-05-26,57.92,S INVOICE,USD
INVOICE,2016-04-28,5.85,S COMMERCIAL INVOICE,USD
INVOICE,1995-11-14,28.76,S TAX INVOICE,USD
INVOICE,1999-05-09,39.95,S COMMERCIAL INVOICE,USD
INVOICE,2015-06-04,79.6,S INVOICE,USD
INVOICE,2008-12-28,38.83,S TAX INVOICE,USD
INVOICE,1999-02-05,71.39,S INVOICE,USD
INVOICE,2010-11-25,88.03,S INVOICE,USD
INVOICE,2014-01-24,96.31,S TAX INVOICE,USD
INVOICE,2001-06-25,29.92,S INVOICE,USD
INVOICE,1997-12-12,0.05,S COMMERCIAL INVOICE,USD
INVOICE,2009-06-24,88.64,S INVOICE,USD
INVOICE,2007-06-04,91.87,S COMMERCIAL INVOICE,USD
INVOICE,2007-06-06,51.32,S TAX INVOICE,USD
INVOICE,1996-08-14,85.0,S TAX INVOICE,USD
INVOICE,1996-03-19,3.68,S TAX INVOICE,USD
INVOICE,,47.13,S INVOICE,USD
INVOICE,,56.94,S COMMERCIAL INVOICE,USD
INVOICE,2015-02-23,83.26,S TAX INVOICE,USD
INVOICE,2001-06-23,13.81,S INVOICE,USD
INVOICE,2005-10-08,87.49,S INVOICE,USD
INVOICE,,78.59,S INVOICE,USD
INVOICE,2011-04-26,18.74,S COMMERCIAL INVOICE,USD
INVOICE,2022-05-17,37.41,S TAX INVOICE,USD
INVOICE,2008-05-14,54.21,S INVOICE,USD
INVOICE,,65.73,S TAX INVOICE,USD
INVOICE,1994-08-27,29.25,S COMMERCIAL INVOICE,USD
INVOICE,2005-12-20,49.24,S COMMERCIAL INVOICE,USD
INVOICE,,14.24,S INVOICE,USD
INVOICE,,90.36,S INVOICE,USD
INVOICE,2008-01-26,79.53,S COMMERCIAL INVOICE,USD
INVOICE,,24.12,S INVOICE,USD
INVOICE,2003-02-14,96.28,S INVOICE,USD
INVOICE,2008-04-22,42.59,S INVOICE,USD
INVOICE,2018-04-03,3.05,S INVOICE,USD
INVOICE,1997-08-29,26.52,S COMMERCIAL INVOICE,USD
INVOICE,,46.38,S COMMERCIAL INVOICE,USD
INVOICE,2018-03-27,38.27,S COMMERCIAL INVOICE,USD
INVOICE,,41.77,S INVOICE,USD
INVOICE,2002-08-17,64.8,S TAX INVOICE,USD
INVOICE,2019-06-27,38.7,S TAX INVOICE,USD
INVOICE,2011-07-05,58.21,S COMMERCIAL INVOICE,USD
INVOICE,2018-03-16,54.34,S TAX INVOICE,USD
INVOICE,2021-11-25,80.59,S INVOICE,USD
INVOICE,2014-02-01,14.09,S TAX INVOICE,USD
INVOICE,2007-09-08,43.94,S INVOICE,USD
INVOICE,,2.44,S COMMERCIAL INVOICE,USD
INVOICE,,25.36,S TAX INVOICE,USD
INVOICE,2021-11-27,98.3,S TAX INVOICE,USD
INVOICE,,70.86,S INVOICE,USD
INVOICE,1995-08-25,9.14,S INVOICE,USD
INVOICE,2010-11-25,9.73,S INVOICE,USD
INVOICE,,99.88,S INVOICE,USD
INVOICE,2017-06-15,3.25,S COMMERCIAL INVOICE,USD
INVOICE,1996-07-10,62.3,S COMMERCIAL INVOICE,USD
INVOICE,2008-01-17,52.29,S TAX INVOICE,USD
INVOICE,,11.91,S TAX INVOICE,USD
INVOICE,2008-03-12,71.26,S INVOICE,USD
INVOICE,1998-09-13,64.54,S TAX INVOICE,USD
INVOICE,,49.3,S INVOICE,USD
INVOICE,2006-09-16,54.37,S COMMERCIAL INVOICE,USD
INVOICE,2019-11-12,54.95,S INVOICE,USD
INVOICE,2020-11-20,55.68,S INVOICE,USD
INVOICE,1998-05-03,93.25,S INVOICE,USD
INVOICE,2019-09-30,96.53,S TAX INVOICE,USD
INVOICE,2008-07-21,6.59,S INVOICE,USD
INVOICE,2011-09-13,49.82,S TAX INVOICE,USD
INVOICE,1998-04-25,98.23,S TAX INVOICE,USD
INVOICE,2002-07-22,55.58,S TAX INVOICE,USD
INVOICE,2012-05-28,23.36,S INVOICE,USD
INVOICE,2011-09-18,99.9,S TAX INVOICE,USD
INVOICE,2013-02-04,40.59,S INVOICE,USD
INVOICE,2006-03-13,55.37,S COMMERCIAL INVOICE,USD
INVOICE,,2.66,S COMMERCIAL INVOICE,USD
INVOICE,,15.72,S INVOICE,USD
INVOICE,1909-06-28,23.43,S INVOICE,USD
INVOICE,,45.27,S INVOICE,USD
INVOICE,2018-03-21,27.93,S TAX INVOICE,USD
INVOICE,2016-03-16,93.72,S COMMERCIAL INVOICE,USD
INVOICE,2019-11-13,89.54,S COMMERCIAL INVOICE,USD
INVOICE,,57.65,S COMMERCIAL INVOICE,USD
INVOICE,2022-01-05,66.87,S INVOICE,USD
INVOICE,2014-07-06,91.06,S INVOICE,USD
INVOICE,1998-05-28,38.89,S TAX INVOICE,USD
INVOICE,2000-09-14,25.91,S COMMERCIAL INVOICE,USD
INVOICE,,94.1,S COMMERCIAL INVOICE,USD
INVOICE,2022-06-26,84.83,S TAX INVOICE,USD
INVOICE,2019-08-03,58.4,S TAX INVOICE,USD
INVOICE,,40.92,S COMMERCIAL INVOICE,USD
INVOICE,,46.15,S INVOICE,USD
INVOICE,2000-04-13,35.22,S COMMERCIAL INVOICE,USD
INVOICE,2015-09-18,37.5,S TAX INVOICE,USD
INVOICE,,53.97,S INVOICE,USD
INVOICE,1997-09-19,96.05,S INVOICE,USD
INVOICE,2021-06-07,58.42,S TAX INVOICE,USD
INVOICE,1997-06-05,42.54,S TAX INVOICE,USD
INVOICE,2000-04-19,67.12,S TAX INVOICE,USD
INVOICE,2001-09-09,92.32,S TAX INVOICE,USD
INVOICE,1996-09-15,57.92,S COMMERCIAL INVOICE,USD
INVOICE,2021-02-08,4.57,S TAX INVOICE,USD
INVOICE,2007-11-16,47.73,S COMMERCIAL INVOICE,USD
INVOICE,2020-05-21,93.64,S COMMERCIAL INVOICE,USD
INVOICE,2002-06-21,31.97,S TAX INVOICE,USD
INVOICE,,61.82,S INVOICE,USD
INVOICE,2020-05-17,74.94,S TAX INVOICE,USD
INVOICE,1996-02-16,73.11,S TAX INVOICE,USD
INVOICE,2002-02-06,66.53,S TAX INVOICE,USD
INVOICE,1995-04-16,96.33,S TAX INVOICE,USD
INVOICE,1996-07-08,92.22,S INVOICE,USD
INVOICE,2021-11-25,44.35,S COMMERCIAL INVOICE,USD
INVOICE,1995-01-01,61.46,S TAX INVOICE,USD
INVOICE,1993-08-08,59.55,S TAX INVOICE,USD
INVOICE,2016-05-28,25.35,S TAX INVOICE,USD
INVOICE,,52.62,S TAX INVOICE,USD
INVOICE,2015-08-26,3.17,S TAX INVOICE,USD
INVOICE,,22.58,S COMMERCIAL INVOICE,USD
INVOICE,2002-11-11,66.72,S TAX INVOICE,USD
INVOICE,2000-03-05,61.42,S COMMERCIAL INVOICE,USD
INVOICE,,11.81,S TAX INVOICE,USD
INVOICE,2001-07-09,2.98,S COMMERCIAL INVOICE,USD
INVOICE,,21.64,S TAX INVOICE,USD
INVOICE,2020-05-19,49.22,S TAX INVOICE,USD
INVOICE,,66.47,S INVOICE,USD
INVOICE,,23.51,S INVOICE,USD
INVOICE,2016-03-17,73.61,S TAX INVOICE,USD
INVOICE,,88.28,S TAX INVOICE,USD
INVOICE,,7.61,S COMMERCIAL INVOICE,USD
INVOICE,,73.15,S COMMERCIAL INVOICE,USD
INVOICE,,59.56,S INVOICE,USD
INVOICE,,99.6,S COMMERCIAL INVOICE,USD
INVOICE,2008-01-21,51.73,S COMMERCIAL INVOICE,USD
INVOICE,1995-07-31,62.46,S COMMERCIAL INVOICE,USD
INVOICE,1997-10-16,0.55,S COMMERCIAL INVOICE,USD
INVOICE,1999-07-25,72.35,S TAX INVOICE,USD
INVOICE,2013-03-15,6.37,S INVOICE,USD
INVOICE,1998-09-21,2.2,S INVOICE,USD
INVOICE,2011-06-20,66.32,S TAX INVOICE,USD
INVOICE,2008-08-10,66.01,S INVOICE,USD
INVOICE,2006-09-08,79.83,S TAX INVOICE,USD
INVOICE,2013-05-06,7.67,S TAX INVOICE,USD
INVOICE,2016-05-26,31.66,S INVOICE,USD
INVOICE,2014-11-06,49.62,S COMMERCIAL INVOICE,USD
INVOICE,2013-03-01,52.95,S TAX INVOICE,USD
INVOICE,,72.06,S TAX INVOICE,USD
INVOICE,1994-05-30,86.2,S COMMERCIAL INVOICE,USD
INVOICE,,21.44,S TAX INVOICE,USD
INVOICE,,8.2,S TAX INVOICE,USD
INVOICE,2007-06-03,81.47,S COMMERCIAL INVOICE,USD
INVOICE,2020-11-08,55.7,S INVOICE,USD
INVOICE,1999-03-27,7222.91,S INVOICE,USD
INVOICE,2018-08-04,67.37,S TAX INVOICE,USD
INVOICE,2004-03-03,75.26,S TAX INVOICE,USD
INVOICE,2020-06-06,50.72,S INVOICE,USD
INVOICE,,25.21,S COMMERCIAL INVOICE,USD
INVOICE,2007-12-08,44.4,S COMMERCIAL INVOICE,USD
INVOICE,1999-08-20,6.44,S COMMERCIAL INVOICE,USD
INVOICE,,94.94,S INVOICE,USD
INVOICE,,94.19,S TAX INVOICE,USD
INVOICE,1994-08-20,37.7,S TAX INVOICE,USD
INVOICE,2010-11-25,64.54,S INVOICE,USD
INVOICE,2005-02-07,99.62,S TAX INVOICE,USD
INVOICE,2016-01-06,81.36,S INVOICE,USD
INVOICE,,32.91,S INVOICE,USD
INVOICE,,303.93,COMMERCIAL INVOICE LN |,EUR
INVOICE,,564.92,TAX INVOICE LN |,USD
INVOICE,,626.86,INVOICE LN |,EUR
INVOICE,,352.41,INVOICE LN |,USD
INVOICE,,318.34,COMMERCIAL INVOICE n\,USD
INVOICE,,1.08,TAX INVOICE LN |,USD
INVOICE,2008-02-04,1153.18,COMMERCIAL INVOICE EN,EUR
INVOICE,2007-03-20,8.76,INVOICE LN |,EUR
INVOICE,,1096.26,INVOICE LN |,USD
INVOICE,,581.37,INVOICE LN |,EUR
INVOICE,,877.24,TAX INVOICE LN |,EUR
INVOICE,,103.28,TAX INVOICE LN |,USD
INVOICE,2009-01-22,289.48,TAX INVOICE LN |,UNK
INVOICE,,101.37,COMMERCIAL INVOICE n\,USD
