vendor_name,year_month,monthly_spend
531 Smith Spur Suite 209,1993-02-01,97.09
TAX INVOICE,1993-02-01,62.519999999999996
TAX INVOICE A\,1993-02-01,59.69
as,1993-02-01,3.0
co COMMERCIAL INVOICE,1993-02-01,1.0
Sy Dale: 16-Mar-1993,1993-03-01,494.9
Yoder LLC,1993-03-01,67.38
Bill to;Wesley Fields,1993-03-01,65.54
COMMERCIAL INVOICE,1993-03-01,48.43
TAX INVOICE,1993-03-01,18.0
ss,1993-03-01,4.0
co COMMERCIAL INVOICE,1993-03-01,3.44
INVOICE A\,1993-03-01,3.0
Address:4894 Melanie Pass Apt. 742,1993-03-01,0.0
Huff-Bryan,1993-04-01,1810.65
Invoice number SYOM 14-349,1993-04-01,875.26
TAX INVOICE,1993-04-01,411.19
tut Bryan,1993-04-01,338.96
INVOICE,1993-04-01,216.67
| LCO jj,1993-04-01,65.92
"Parker, Phillips and Thomas",1993-04-01,42.99
COMMERCIAL INVOICE A\,1993-04-01,4.0
INVOICE # INVa3918730,1993-04-01,2.0
INVOICE,1993-05-01,1111.9
yA Date: 13-May-1993,1993-05-01,689.23
COMMERCIAL INVOICE,1993-05-01,575.91
TAX INVOICE,1993-05-01,328.24000000000007
=) UJ,1993-05-01,133.1
=,1993-05-01,84.03
"Parker, Phillips and Thomas",1993-05-01,80.43
Yoder LLC,1993-05-01,23.06
"Rogers, Olson and Sanders",1993-05-01,21.01
INVOICE # 4531-912,1993-05-01,6.0
INVOICE A\,1993-05-01,5.0
Invoice number 9848-082,1993-05-01,5.0
——,1993-05-01,5.0
COMMERCIAL INVOICE A\,1993-05-01,3.0
INVOICE 1D 9YaMe-206,1993-05-01,3.0
Robinson-Carson 62 96 e,1993-05-01,2.38
Address:4894 Melanie Pass Apt. 742,1993-05-01,0.0
TAX INVOICE ©,1993-05-01,0.0
COMMERCIAL INVOICE,1993-06-01,156.68
=) UJ,1993-06-01,89.41
"Parker, Phillips and Thomas",1993-06-01,88.19
INVOICE,1993-06-01,7.0
TAX INVOICE,1993-06-01,5.0
=) a,1993-06-01,3.0
ss,1993-06-01,3.0
SA Invoice Date: 06-Jul-1993,1993-07-01,649.83
COMMERCIAL INVOICE,1993-07-01,108.36
Huft-Bryan,1993-07-01,65.83
INVOICE,1993-07-01,56.09
TAX INVOICE,1993-07-01,20.21
"Rogers, Olson and Sanders",1993-07-01,5.0
COMMERCIAL INVOICE A\,1993-07-01,4.0
| LCO jj,1993-07-01,2.53
INVOICE A\,1993-07-01,2.0
ss,1993-07-01,2.0
Address:4894 Melanie Pass Apt. 742,1993-07-01,0.0
COMMERCIAL INVOICE ©,1993-07-01,0.0
INVOICE,1993-08-01,1083.63
Huft-Bryan,1993-08-01,1029.07
"Parker, Phillips and Thomas",1993-08-01,123.39
COMMERCIAL INVOICE,1993-08-01,110.37
Yoder Luc,1993-08-01,88.28
Jensen Group. INVOICE,1993-08-01,66.98
S TAX INVOICE,1993-08-01,59.55
Yoder LLC,1993-08-01,58.43
{ 7 | INVOICE,1993-08-01,55.0
y| LCO |,1993-08-01,50.07
Invoice number 8088-879,1993-08-01,4.0
INVOICE,1993-09-01,931.03
COMMERCIAL INVOICE,1993-09-01,766.3299999999999
"Parker, Phillips and Thomas",1993-09-01,75.35
Bill to:Daniel Terry,1993-09-01,17.55
TAX INVOICE,1993-09-01,11.0
INVOICE Invoice number INV51842156,1993-09-01,6.0
COMMERCIAL INVOICE Invoice number 6Y 1M8d-878,1993-09-01,4.0
Ba.,1993-09-01,2.79
TAX INVOICE A\,1993-09-01,2.0
COMMERCIAL INVOICE ©,1993-09-01,0.0
Wy Date: 31-Oct-1993,1993-10-01,841.57
TAX INVOICE,1993-10-01,624.73
Buyer :James White,1993-10-01,83.08
COMMERCIAL INVOICE,1993-10-01,16.0
INVOICE,1993-10-01,9.01
Address:4894 Melanie Pass Apt. 742,1993-10-01,0.0
INVOICE ©,1993-10-01,0.0
INVOICE,1993-11-01,951.5699999999999
TAX INVOICE,1993-11-01,715.59
Ba.,1993-11-01,631.04
Huff-Bryan,1993-11-01,473.9
=) UJ,1993-11-01,367.08
S INVOICE,1993-11-01,69.01
COMMERCIAL INVOICE,1993-11-01,6.0
Invoice number 4995-142,1993-11-01,4.0
Invoice number INV/80-16/947,1993-11-01,4.0
Address:4894 Melanie Pass Apt. 742,1993-11-01,0.0
INVOICE,1993-12-01,294.44
COMMERCIAL INVOICE,1993-12-01,202.64000000000001
SB Invoice Date: 30-Dec-1993,1993-12-01,67.75
——,1993-12-01,4.0
Jensen Group. INVOICE,1993-12-01,3.0
INVOICE # INViS4-861690,1993-12-01,2.94
INVOICE Invoice number 1720-881,1993-12-01,2.0
Yoder Luc,1993-12-01,2.0
COMMERCIAL INVOICE,1994-01-01,2649.1099999999997
=) UJ,1994-01-01,103.0
INVOICE ©,1994-01-01,91.98
"Rogers, Olson and Sanders",1994-01-01,83.63
Robinson-Carson 62 96 e,1994-01-01,72.05
TAX INVOICE,1994-01-01,8.72
Address:4894 Melanie Pass Apt. 742,1994-01-01,2.14
INVOICE,1994-01-01,1.0
INVOICE 1D INvit8-44/868,1994-01-01,1.0
SB invoice Date: 21-Feb-1994,1994-02-01,582.21
A Date: 05-Feb-1994,1994-02-01,420.43
"Graham, Carrio and Stark",1994-02-01,315.89
INVOICE A\,1994-02-01,233.72
Yoder LLC,1994-02-01,98.93
TAX INVOICE,1994-02-01,86.33
INVOICE,1994-02-01,81.12
"Parker, Phillips and Thomas",1994-02-01,75.41
INVOICE ©,1994-02-01,69.22
COMMERCIAL INVOICE,1994-02-01,6.0
Date: 18-Feb-1994,1994-02-01,1.0
Address:4894 Melanie Pass Apt. 742,1994-02-01,0.0
COMMERCIAL INVOICE ©,1994-02-01,0.0
Huft-Bryan,1994-03-01,884.57
COMMERCIAL INVOICE,1994-03-01,788.0799999999999
as,1994-03-01,565.93
Yoder Luc,1994-03-01,186.17000000000002
"Parker, Phillips and Thomas",1994-03-01,126.79
INVOICE,1994-03-01,84.54
TAX INVOICE,1994-03-01,12.6
COMMERCIAL INVOICE A\,1994-03-01,5.0
"Duran, Morgan andl Loper, COMMERCIAL INVOIC",1994-04-01,1102.52
TAX INVOICE,1994-04-01,98.66
ss,1994-04-01,91.95
COMMERCIAL INVOICE,1994-04-01,48.08
INVOICE 10 INVIS6-#27718,1994-04-01,6.86
Date: 05-Apr-1994,1994-04-01,6.0
TAX INVOICE A\,1994-04-01,4.0
=) UJ,1994-04-01,1.0
INVOICE,1994-04-01,1.0
Invoice number 4846-163,1994-04-01,1.0
COMMERCIAL INVOICE,1994-05-01,1583.88
"Duran, Morgan and Loper TAX INVOICE",1994-05-01,118.86
S COMMERCIAL INVOICE,1994-05-01,86.2
=) UJ,1994-05-01,50.19
"Parker, Phillips and Thomas",1994-05-01,17.45
Buyer :Kevin Bennett,1994-05-01,14.15
INVOICE,1994-05-01,9.0
TAX INVOICE,1994-05-01,4.0
——,1994-05-01,2.0
COMMERCIAL INVOICE ©,1994-05-01,0.0
TAX INVOICE,1994-06-01,1029.77
"Duran, Morgan andl Loper, COMMERCIAL INVOIC",1994-06-01,629.5
INVOICE,1994-06-01,244.0
S INVOICE,1994-06-01,97.45
COMMERCIAL INVOICE,1994-06-01,24.07
Invoice number 0738-211,1994-06-01,14.94
COMMERCIAL INVOICE A\,1994-06-01,7.0
=) a,1994-06-01,6.0
Date: 18-Jun-1994,1994-06-01,6.0
co TAX INVOICE,1994-06-01,3.0
——,1994-06-01,2.0
Jensen Group. INVOICE,1994-06-01,1.0
COMMERCIAL INVOICE ©,1994-06-01,0.0
TAX INVOICE,1994-07-01,1065.84
Huft-Bryan,1994-07-01,446.31
COMMERCIAL INVOICE,1994-07-01,378.52
yy Date: 13-Jul-1994,1994-07-01,202.21
| LCO jj,1994-07-01,91.74
Bill to:Omar Washington,1994-07-01,58.29
INVOICE,1994-07-01,42.39
Yoder Luc,1994-07-01,25.31
COMMERCIAL INVOICE INVOICE # INV/90-71/916,1994-07-01,5.0
Invoice number 9Y5MBd-266,1994-07-01,5.0
COMMERCIAL INVOICE INVOICE # INV67254217,1994-07-01,4.0
"Graham, Carrio and Stark",1994-07-01,2.18
INVOICE # 3Y7M60-817,1994-07-01,1.0
INVOICE ©,1994-07-01,0.0
Ba.,1994-08-01,1031.74
Huff-Bryan,1994-08-01,435.97
BSS,1994-08-01,284.03
COMMERCIAL INVOICE,1994-08-01,170.92000000000002
Yoder Luc,1994-08-01,86.33
INVOICE,1994-08-01,78.35
S TAX INVOICE,1994-08-01,37.7
S COMMERCIAL INVOICE,1994-08-01,29.25
Jensen Group. INVOICE,1994-08-01,27.84
=) UJ,1994-08-01,10.08
"Rogers, Olson and Sanders",1994-08-01,8.0
INVOICE 19 0211-415,1994-08-01,3.0
TAX INVOICE,1994-08-01,1.0
as,1994-08-01,1.0
TAX INVOICE ©,1994-08-01,0.0
COMMERCIAL INVOICE,1994-09-01,913.0
TAX INVOICE,1994-09-01,211.59
Invoice Date: 29-Sep-1994,1994-09-01,73.28
Yoder Luc,1994-09-01,60.4
INVOICE,1994-09-01,4.0
ss,1994-09-01,3.0
COMMERCIAL INVOICE INVOICE # 5760-132,1994-09-01,2.2
Address:4894 Melanie Pass Apt. 742,1994-09-01,0.0
"Duran, Morgan andl Loper, COMMERCIAL INVOIC",1994-10-01,1093.16
INVOICE,1994-10-01,608.67
COMMERCIAL INVOICE,1994-10-01,381.5
Invoice Date: 24-Oct-1994,1994-10-01,99.39
Invoice number INVI26-59/467,1994-10-01,93.78
A Date: 30-Oct-1994,1994-10-01,72.87
Yoder Luc,1994-10-01,51.62
Jensen Group. INVOICE,1994-10-01,38.08
TAX INVOICE,1994-10-01,22.92
INVOICE 1D INVi69-22/722,1994-10-01,15.0
"Rogers, Olson and Sanders",1994-10-01,7.0
INVOICE #INV72t67868,1994-10-01,6.84
Invoice Date: 17-Oct-1994,1994-10-01,4.0
Date: 11-Oct-1994,1994-10-01,3.0
COMMERCIAL INVOICE,1994-11-01,1285.8400000000001
INVOICE,1994-11-01,1166.06
co TAX INVOICE,1994-11-01,572.04
Invoice Date: 03-Nov-1994,1994-11-01,530.26
SB Invoice Date: 26-Nov-1994,1994-11-01,348.42
Yoder Luc,1994-11-01,111.45
y| LCO |,1994-11-01,65.93
Robinson-Carson 62 96 e,1994-11-01,56.71
TAX INVOICE,1994-11-01,29.689999999999998
| LCO jj,1994-11-01,5.76
"Rogers, Olson and Sanders",1994-11-01,2.0
Address:4894 Melanie Pass Apt. 742,1994-11-01,0.0
Huff-Bryan,1994-12-01,663.4
INVOICE,1994-12-01,135.04
Bil to:Yvonne Garza,1994-12-01,94.47
INVOICE ©,1994-12-01,89.99
TAX INVOICE,1994-12-01,84.12
"""am NO",1994-12-01,43.21
COMMERCIAL INVOICE,1994-12-01,16.14
TAX INVOICE INVOICE ID 1Y1M5d-442,1994-12-01,4.0
INVOICE 1D INVIN4-771632,1994-12-01,2.0
"Rogers, Olson and Sanders",1994-12-01,2.0
Address:4894 Melanie Pass Apt. 742,1994-12-01,0.0
INVOICE,1995-01-01,1203.94
"Parker, Phillips and Thomas",1995-01-01,82.93
TAX INVOICE,1995-01-01,66.55
S TAX INVOICE,1995-01-01,61.46
Yoder Luc,1995-01-01,55.46
COMMERCIAL INVOICE,1995-01-01,7.0
=) a,1995-01-01,6.0
INVOICE # 5889-452,1995-01-01,6.0
INVOICE A\,1995-01-01,6.0
TAX INVOICE ©,1995-01-01,0.0
INVOICE,1995-02-01,1615.5900000000001
TAX INVOICE,1995-02-01,629.31
COMMERCIAL INVOICE,1995-02-01,524.63
Yoder Luc,1995-02-01,124.55000000000001
INVOICE # INVi87-591089,1995-02-01,56.06
"""am NO",1995-02-01,52.52
Bill to:Leonard Perry,1995-02-01,39.75
3,1995-02-01,37.37
ss,1995-02-01,22.12
BSS,1995-02-01,19.5
Date: 12-Feb-1995,1995-02-01,3.0
——,1995-02-01,3.0
INVOICE ID INVS0595719,1995-02-01,1.88
Address:4894 Melanie Pass Apt. 742,1995-02-01,0.0
Huff-Bryan,1995-03-01,1700.08
INVOICE,1995-03-01,1671.81
COMMERCIAL INVOICE,1995-03-01,245.60999999999999
"""am NO",1995-03-01,59.75
TAX INVOICE,1995-03-01,27.240000000000002
Invoice number INV24120308,1995-03-01,3.0
=) UJ,1995-03-01,1.55
Huff-Bryan,1995-04-01,1106.8
WA Date: 09-Apr-1995,1995-04-01,589.39
"Rogers, Olson and Sanders",1995-04-01,126.12
S TAX INVOICE,1995-04-01,96.33
Buyer :David Jones,1995-04-01,81.25
INVOICE,1995-04-01,71.94
COMMERCIAL INVOICE,1995-04-01,64.4
"""am NO",1995-04-01,51.16
| LCO jj,1995-04-01,47.27
LT Invoice Date: 24-Apr-1995,1995-04-01,24.06
TAX INVOICE,1995-04-01,19.66
INVOICE 10 2586-002,1995-04-01,12.0
=) UJ,1995-04-01,0.12
COMMERCIAL INVOICE,1995-05-01,1101.0
BSS,1995-05-01,701.35
TAX INVOICE,1995-05-01,602.58
co TAX INVOICE,1995-05-01,575.28
=) UJ,1995-05-01,91.63
INVOICE A\,1995-05-01,41.92
INVOICE,1995-05-01,39.26
INVOICE # 4997-198,1995-05-01,4.64
INVOICE # INVIS7-381000,1995-05-01,4.0
Date: 24-May-1995,1995-05-01,3.0
TAX INVOICE ©,1995-05-01,0.0
COMMERCIAL INVOICE,1995-06-01,910.95
"Graham, Carrio and Stark",1995-06-01,682.5
BSS,1995-06-01,359.97
TAX INVOICE,1995-06-01,255.09
Yoder Luc,1995-06-01,88.65
| LS,1995-06-01,51.83
Buyer :Charles Bates,1995-06-01,27.53
ss,1995-06-01,8.0
co TAX INVOICE,1995-06-01,5.0
Address:4894 Melanie Pass Apt. 742,1995-06-01,0.0
COMMERCIAL INVOICE,1995-07-01,654.36
INVOICE,1995-07-01,80.33999999999999
S COMMERCIAL INVOICE,1995-07-01,62.46
INVOICE A\,1995-07-01,24.69
"Rogers, Olson and Sanders",1995-07-01,6.0
Invoice Date: 24-Jul-1995,1995-07-01,3.2
TAX INVOICE,1995-07-01,2.0
Address:4894 Melanie Pass Apt. 742,1995-08-01,9415.87
COMMERCIAL INVOICE,1995-08-01,703.7
TAX INVOICE,1995-08-01,382.62
INVOICE,1995-08-01,339.71
"Duran, Morgan and Loper INVOICE",1995-08-01,259.39
LS,1995-08-01,90.71
Ba.,1995-08-01,25.77
co TAX INVOICE,1995-08-01,23.85
Yoder Luc,1995-08-01,9.82
S INVOICE,1995-08-01,9.14
=) a,1995-08-01,4.0
Date: 30-Aug-1995,1995-08-01,2.0
Huff-Bryan,1995-09-01,598.45
INVOICE # 8278-185,1995-09-01,236.64
TAX INVOICE,1995-09-01,80.74000000000001
"Parker, Phillips and Thomas",1995-09-01,79.54
Robinson-Carson 62 96 e,1995-09-01,20.78
INVOICE A\,1995-09-01,6.0
COMMERCIAL INVOICE ©,1995-09-01,5.0
COMMERCIAL INVOICE A\,1995-09-01,4.0
"Rogers, Olson and Sanders",1995-09-01,4.0
INVOICE,1995-09-01,3.0
COMMERCIAL INVOICE,1995-09-01,2.0
Address:4894 Melanie Pass Apt. 742,1995-09-01,0.0
tut Bryan,1995-10-01,850.68
SA Invoice Date: 13-Oct-1995,1995-10-01,807.5
Huff-Bryan,1995-10-01,552.32
TAX INVOICE,1995-10-01,440.79
"Parker, Phillips and Thomas",1995-10-01,87.28
rd Bill t:Sharon Herman,1995-10-01,77.78
COMMERCIAL INVOICE,1995-10-01,76.98
Buyor :Danio Hal,1995-10-01,65.86
INVOICE,1995-10-01,4.3
INVOICE ©,1995-10-01,0.0
TAX INVOICE,1995-11-01,1447.73
Huft-Bryan,1995-11-01,940.3
Ba.,1995-11-01,753.12
COMMERCIAL INVOICE,1995-11-01,183.16
| LCO jj,1995-11-01,97.14
S TAX INVOICE,1995-11-01,28.76
INVOICE,1995-11-01,3.0
——,1995-11-01,3.0
"Duran, Morgan andl Loper, COMMERCIAL INVOIC",1995-12-01,726.69
fut-Bryan,1995-12-01,519.85
COMMERCIAL INVOICE,1995-12-01,353.82
Robinson-Carson 62 96 e,1995-12-01,52.61
y| LCO |,1995-12-01,44.42
TAX INVOICE,1995-12-01,41.18
Yoder Luc,1995-12-01,32.86
INVOICE,1995-12-01,7.0
TAX INVOICE ©,1995-12-01,0.0
TAX INVOICE,1996-01-01,526.5899999999999
INVOICE,1996-01-01,35.42
Buyer :Bethany Edwards,1996-01-01,29.65
COMMERCIAL INVOICE,1996-01-01,15.59
669 Christian Ferry,1996-01-01,13.76
"Rogers, Olson and Sanders",1996-01-01,8.0
INVOICE 1D INVi19-67/089,1996-01-01,4.0
Invoice number 9Y3M34-717,1996-01-01,4.0
Date: 29-Jan-1996,1996-01-01,3.0
co TAX INVOICE,1996-01-01,1.0
Address:4894 Melanie Pass Apt. 742,1996-01-01,0.0
Huft-Bryan,1996-02-01,984.75
"Duran, Morgan andl Loper, COMMERCIAL INVOIC",1996-02-01,961.76
Invoice number INV/17-53/486,1996-02-01,89.2
S TAX INVOICE,1996-02-01,73.11
| LCO jj,1996-02-01,71.7
Buyer :Brian Logan,1996-02-01,66.04
"""am NO",1996-02-01,53.92
INVOICE,1996-02-01,44.449999999999996
TAX INVOICE,1996-02-01,36.91
COMMERCIAL INVOICE,1996-02-01,13.870000000000001
"Parker, Phillips and Thomas",1996-02-01,8.55
Yoder LLC,1996-02-01,7.64
=) a,1996-02-01,6.0
Invoice Date: 02-Feb-1996,1996-02-01,5.0
Invoice Date: 27-Feb-1996,1996-02-01,4.0
"Rogers, Olson and Sanders",1996-02-01,4.0
Jensen Group. INVOICE,1996-02-01,2.0
INVOICE ©,1996-02-01,0.0
Se Invoice Date: 20-Mar-1996,1996-03-01,1566.99
Huff-Bryan,1996-03-01,1313.86
INVOICE,1996-03-01,983.09
TAX INVOICE,1996-03-01,557.41
COMMERCIAL INVOICE,1996-03-01,165.95
uy Date: 11-Mar-1996,1996-03-01,133.48
COMMERCIAL INVOICE ©,1996-03-01,48.99
Bill t:Patrick Gonzalez,1996-03-01,41.42
COMMERCIAL INVOICE A\,1996-03-01,15.58
S TAX INVOICE,1996-03-01,3.68
=) UJ,1996-03-01,1.0
Address:4894 Melanie Pass Apt. 742,1996-03-01,0.0
INVOICE ©,1996-03-01,0.0
LY Invoice Date: 22-Apr-1996,1996-04-01,1618.64
INVOICE,1996-04-01,319.90999999999997
ss,1996-04-01,99.58
Yoder Luc,1996-04-01,86.7
COMMERCIAL INVOICE,1996-04-01,68.55
——,1996-04-01,5.0
ZEON,1996-04-01,2.6
INVOICE 1D nNva9es9205,1996-04-01,2.0
£48 Gordon Center Suite 622,1996-05-01,89.7
=) UJ,1996-05-01,50.84
Bil to:Summer Davis,1996-05-01,39.07
Robinson-Carson 62 96 e,1996-05-01,29.06
COMMERCIAL INVOICE,1996-05-01,29.0
INVOICE,1996-05-01,16.259999999999998
—,1996-05-01,4.0
TAX INVOICE,1996-05-01,1.0
BSS,1996-06-01,821.2700000000001
INVOICE,1996-06-01,658.91
Sy Date: 21-Jun-1996,1996-06-01,390.06
"Duran, Morgan andl Loper, COMMERCIAL INVOIC",1996-06-01,295.6
y| LCO |,1996-06-01,108.14
TAX INVOICE,1996-06-01,100.28
COMMERCIAL INVOICE,1996-06-01,70.42
Date: 16-Jun-1996,1996-06-01,28.06
co COMMERCIAL INVOICE,1996-06-01,26.75
ss,1996-06-01,9.0
TAX INVOICE A\,1996-06-01,7.0
INVOICE # INvi80-64/708,1996-06-01,6.0
INVOICE INVOICE ID 1333-374,1996-06-01,6.0
=) UJ,1996-06-01,1.0
Address:4894 Melanie Pass Apt. 742,1996-06-01,0.0
COMMERCIAL INVOICE,1996-07-01,219.58
TAX INVOICE,1996-07-01,164.12
S INVOICE,1996-07-01,92.22
INVOICE,1996-07-01,87.63000000000001
INVOICE A\,1996-07-01,85.88
"Parker, Phillips and Thomas",1996-07-01,64.99
S COMMERCIAL INVOICE,1996-07-01,62.3
y| LCO |,1996-07-01,56.46
Yoder Luc,1996-07-01,54.83
INVOICE ©,1996-07-01,3.0
=) UJ,1996-08-01,1065.5700000000002
INVOICE,1996-08-01,309.01000000000005
COMMERCIAL INVOICE,1996-08-01,137.23000000000002
Robinson-Carson 62 96 e,1996-08-01,87.0
S TAX INVOICE,1996-08-01,85.0
TAX INVOICE,1996-08-01,70.13
INVOICE ©,1996-08-01,49.08
TAX INVOICE A\,1996-08-01,13.55
Date: 14-Aug-1996,1996-08-01,5.0
ss,1996-08-01,3.0
INVOICE Invoice number 7559-291,1996-08-01,2.0
Huft-Bryan,1996-09-01,827.24
TAX INVOICE,1996-09-01,374.36
"Parker, Phillips and Thomas",1996-09-01,99.16
COMMERCIAL INVOICE,1996-09-01,85.12
Yoder LLC,1996-09-01,81.77
S COMMERCIAL INVOICE,1996-09-01,57.92
=) UJ,1996-09-01,55.48
INVOICE,1996-09-01,35.81
Yoder Luc,1996-09-01,30.39
INVOICE 1D 4v2M7@-010,1996-09-01,26.97
Buyer :Robert Warren,1996-09-01,13.51
INVOICE # INVize-86732,1996-09-01,6.0
TAX INVOICE A\,1996-09-01,5.0
Jensen Group. INVOICE,1996-09-01,4.0
"Rogers, Olson and Sanders",1996-09-01,4.0
INVOICE 1D INVs9191440,1996-09-01,3.0
TAX INVOICE ©,1996-09-01,0.0
TAX INVOICE,1996-10-01,1601.49
"""am NO",1996-10-01,76.23
INVOICE,1996-10-01,63.67
ss,1996-10-01,57.79
COMMERCIAL INVOICE,1996-10-01,49.39
INVOICE ©,1996-10-01,46.32
COMMERCIAL INVOICE INVOICE ID 2¥9M6d-860,1996-10-01,5.0
INVOICE # INVe8EB7281,1996-10-01,5.0
COMMERCIAL INVOICE INVOICE ID INV11860027,1996-10-01,4.0
Invoice Date: 29-Oct-1996,1996-10-01,4.0
TAX INVOICE ©,1996-10-01,0.0
"Duran, Morgan andl Loper, COMMERCIAL INVOIC",1996-11-01,962.49
COMMERCIAL INVOICE,1996-11-01,781.19
INVOICE,1996-11-01,626.93
Huft-Bryan,1996-11-01,318.18
1984 Christopher Orchard Suite 660,1996-11-01,53.62
TAX INVOICE A\,1996-11-01,26.01
TAX INVOICE,1996-11-01,4.0
co COMMERCIAL INVOICE,1996-11-01,3.0
INVOICE # INViTO-381492,1996-11-01,2.1
BIS.,1996-12-01,529.58
Address:4894 Melanie Pass Apt. 742,1996-12-01,364.04
TAX INVOICE,1996-12-01,360.72
Huft-Bryan,1996-12-01,309.09
INVOICE,1996-12-01,249.47
COMMERCIAL INVOICE,1996-12-01,215.51
"Parker, Phillips and Thomas",1996-12-01,62.84
co TAX INVOICE,1996-12-01,60.9
Buyer ‘David Chase,1996-12-01,24.23
INVOICE 10 8020-685,1996-12-01,15.0
Buyer :Sarah Hawkins,1996-12-01,8.3
"Rogers, Olson and Sanders",1996-12-01,2.0
Invoice number 5Y5M7d-037,1996-12-01,1.0
COMMERCIAL INVOICE ©,1996-12-01,0.0
COMMERCIAL INVOICE,1997-01-01,613.76
Wy Date: 22-Jan-1997,1997-01-01,437.55
TAX INVOICE,1997-01-01,154.72
Yoder Luc,1997-01-01,106.08
SB Invoice Date: 18-Jan-1997,1997-01-01,89.59
Robinson-Carson 62 96 e,1997-01-01,76.59
INVOICE,1997-01-01,70.42
BSS,1997-01-01,68.02
INVOICE # 6884-727,1997-01-01,6.0
ss,1997-01-01,5.0
Invoice Date: 09-Jan-1997,1997-01-01,3.6
as,1997-01-01,3.0
| LCO jj,1997-01-01,1.44
Address:4894 Melanie Pass Apt. 742,1997-02-01,260.58000000000004
COMMERCIAL INVOICE A\,1997-02-01,108.88
Yoder Luc,1997-02-01,49.57
co TAX INVOICE,1997-02-01,24.98
INVOICE 10 INVI78-601008,1997-02-01,6.63
Date: 06-Feb-1997,1997-02-01,6.0
INVOICE,1997-02-01,5.0
"Rogers, Olson and Sanders",1997-02-01,4.0
=) a,1997-02-01,3.0
Invoice number NV+ 1506080,1997-02-01,1.0
TAX INVOICE,1997-02-01,1.0
Sy Date: 25-Mar-1997,1997-03-01,1009.61
Huff-Bryan,1997-03-01,629.08
INVOICE,1997-03-01,418.84999999999997
TAX INVOICE,1997-03-01,107.87
| LCO jj,1997-03-01,89.98
COMMERCIAL INVOICE,1997-03-01,82.19
"Parker, Phillips and Thomas",1997-03-01,53.54
Buyer :Douglas Terry,1997-03-01,34.31
INVOICE A\,1997-03-01,6.0
COMMERCIAL INVOICE A\,1997-03-01,5.0
Invoice number 1¥4M74-901,1997-03-01,4.0
ss,1997-03-01,4.0
